SPY from 2006-Sep-20 to 2011-Sep-20,,,,,
Date,Open,High,Low,Close,Volume
01/10/2007,152.6,154.75,152.5,154.3,148104700
02/10/2007,154.61,154.65,153.81,154.09,112647000
03/10/2007,153.81,154.41,153.01,153.78,117783600
04/10/2007,154.11,154.26,153.59,154.02,76688200
05/10/2007,155.03,156.1,154.63,155.85,134579700
08/10/2007,155.39,155.49,154.77,155.02,71253200
09/10/2007,155.6,156.5,155.03,156.48,93861000
10/10/2007,156.04,156.44,155.41,156.22,101476600
11/10/2007,156.93,157.52,154.54,155.47,233515800
12/10/2007,155.46,156.35,155.27,156.33,124529600
15/10/2007,156.27,156.36,153.94,155.01,161033900
16/10/2007,154.41,154.52,153.47,153.78,166393700
17/10/2007,154.98,155.09,152.47,154.25,216592900
18/10/2007,153.45,154.19,153.08,153.69,148367500
19/10/2007,153.09,156.48,149.66,149.67,295362200
22/10/2007,148.86,150.76,148.66,150.54,261712200
23/10/2007,151.46,151.95,150.25,151.76,179877800
24/10/2007,151.21,151.74,148.84,151.48,326211600
25/10/2007,151.65,152.29,149.88,151.84,237327000
26/10/2007,153.06,153.62,151.9,153.62,176484000
29/10/2007,153.93,154.44,153.55,154.13,106794300
30/10/2007,153.45,153.75,152.87,153.06,132944300
31/10/2007,153.98,155.27,152.84,154.65,220268300
01/11/2007,153.29,153.41,150.59,151.03,332923200
02/11/2007,151.53,152,149.21,151.2,331218000
05/11/2007,149.64,151.16,148.97,150.05,226754600
06/11/2007,150.86,152.11,149.9,152.07,177534900
07/11/2007,150.44,151.13,147.55,147.91,306056400
08/11/2007,147.99,148.4,145.07,147.16,374275700
09/11/2007,145.69,147.54,144.89,145.14,277718500
12/11/2007,145.21,146.61,143.7,143.7,242917600
13/11/2007,145.37,148.31,145.22,148.08,191022700
14/11/2007,149.22,149.4,146.78,147.67,229932600
15/11/2007,146.57,147.49,144.52,145.54,262904800
16/11/2007,146.31,146.47,144.57,145.79,308727000
19/11/2007,145.28,145.36,143.19,143.76,267122300
20/11/2007,144.02,145.53,142.11,144.64,414281800
21/11/2007,143.08,143.91,141.67,141.68,259012400
23/11/2007,143.07,144.34,142.7,144.13,77688400
26/11/2007,144.43,144.88,140.66,140.95,212497500
27/11/2007,141.74,143.23,140.95,142.57,293830300
28/11/2007,144.19,147.47,144.14,147.13,258561200
29/11/2007,146.62,147.72,146.1,147.18,199104400
30/11/2007,149.04,149.87,147.33,148.66,222886500
03/12/2007,148.19,148.45,147.29,147.68,145904500
04/12/2007,146.66,147.54,146.31,146.36,136523700
05/12/2007,147.93,149.2,147.83,148.81,170816000
06/12/2007,148.63,151.21,148.57,150.94,154457400
07/12/2007,151.42,151.5,150.55,150.91,148959200
10/12/2007,151.28,152.25,150.86,152.08,123761700
11/12/2007,152.14,152.89,147.83,147.91,249919200
12/12/2007,151.06,151.77,147.2,149.37,322280300
13/12/2007,148.32,149.39,147.3,149.06,237551300
14/12/2007,147.93,149.1,147.1,147.17,159110600
17/12/2007,146.61,146.87,144.86,145.07,177003800
18/12/2007,146.1,146.48,143.96,145.88,245557700
19/12/2007,145.94,146.89,144.94,145.88,198868200
20/12/2007,146.84,146.86,145.18,146.8,214674000
21/12/2007,147.37,148.42,147.09,148.13,146084400
24/12/2007,148.82,149.48,148.48,149.23,45601400
26/12/2007,148.65,149.68,148.5,149.55,67055200
27/12/2007,149.02,149.03,147.32,147.67,120894500
28/12/2007,148.54,148.61,146.9,147.3,116358000
31/12/2007,147.1,147.61,146.06,146.21,108106300
02/01/2008,146.53,146.99,143.88,144.93,204889200
03/01/2008,144.91,145.49,144.07,144.86,125045600
04/01/2008,143.34,143.44,140.91,141.31,232388500
07/01/2008,141.81,142.23,140.1,141.19,234546400
08/01/2008,142.08,142.9,138.44,138.91,326266700
09/01/2008,139.09,140.79,137.7,140.37,301824900
10/01/2008,139.68,142.8,139.37,141.29,334571100
11/01/2008,140.78,141.9,139,140.15,267010600
14/01/2008,141.16,141.86,140.4,141.28,170273800
15/01/2008,139.79,141.49,137.9,138.17,239940100
16/01/2008,137.36,139.12,136.28,136.98,378802600
17/01/2008,137.81,137.88,132.93,133.43,397892600
23/01/2008,127.09,134.19,126.84,133.86,
24/01/2008,134.48,135.46,133.31,134.99,259563800
25/01/2008,136.51,136.76,132.6,133.04,270273200
28/01/2008,133.26,135.52,132.06,135.24,217581900
29/01/2008,136.1,136.45,134.88,135.91,168664000
30/01/2008,135.58,138.54,134.6,134.91,335938200
31/01/2008,133.4,138.54,133.2,137.37,342769100
01/02/2008,137.94,139.61,137.52,139.58,206822200
04/02/2008,139.21,139.3,137.64,137.82,124628500
05/02/2008,135.94,136.25,133.67,134.13,286632100
06/02/2008,134.58,135.25,132.41,133.05,250488200
07/02/2008,131.8,134.79,131.73,133.93,297368100
08/02/2008,133.09,134.22,132.1,133.07,221621100
11/02/2008,133.36,134.21,132.05,133.75,5455600
12/02/2008,134.7,136.3,134,134.99,2853000
13/02/2008,136.39,137.04,135.14,136.37,2717000
14/02/2008,136.87,136.87,134.81,135.17,215108500
15/02/2008,134.36,135.22,133.91,135.14,2267800
19/02/2008,136.67,136.88,134.63,135.52,1913200
20/02/2008,133.99,136.55,133.76,135.92,220085700
21/02/2008,136.71,137,134.1,134.79,201029900
22/02/2008,134.97,135.85,132.86,135.62,205458300
25/02/2008,135.54,137.65,134.78,137.33,189824000
26/02/2008,136.75,138.95,136.5,138.36,212383700
27/02/2008,137.54,139.13,137.49,138.22,1208600
28/02/2008,137.24,137.96,136.55,136.87,170518100
29/02/2008,135.6,137.02,132.78,133.82,252653800
03/03/2008,133.14,133.81,132.24,133.5,189483500
04/03/2008,132.26,133.38,130.99,132.99,2211200
05/03/2008,133.31,134.74,132.36,133.83,2187800
06/03/2008,132.98,133.22,130.55,131.06,247501700
07/03/2008,129.73,131.7,128.6,129.71,3773000
10/03/2008,129.8,129.9,127.59,128,2263600
11/03/2008,130.72,132.72,127.71,132.6,341440600
12/03/2008,132.71,133.73,131.19,131.36,2526800
13/03/2008,129.61,132.64,128.6,131.65,351504200
14/03/2008,132.77,132.81,127.78,129.61,484661900
17/03/2008,126.57,129.26,126.07,128.3,404978700
18/03/2008,130.62,133.69,129.98,133.63,334238300
19/03/2008,134.14,134.65,130.04,130.32,345780100
20/03/2008,130.05,132.91,129.26,132.08,243220400
24/03/2008,133.31,135.81,133.24,134.72,208977300
25/03/2008,134.87,135.55,133.77,134.85,963200
26/03/2008,134.46,135.09,133.11,133.2,196852000
27/03/2008,134.21,134.43,132.38,132.78,1128400
28/03/2008,132.99,133.36,131.06,131.51,180896100
31/03/2008,131.29,132.73,131.09,131.97,166492500
02/04/2008,137.09,137.65,135.99,136.7,710200
03/04/2008,135.96,137.38,135.72,137.04,3837600
04/04/2008,137.12,137.96,136.12,136.89,204446800
07/04/2008,137.87,138.57,136.74,136.96,154245500
08/04/2008,136.13,136.9,135.99,136.82,786600
09/04/2008,136.51,136.78,134.93,135.83,2633000
10/04/2008,135.35,136.66,134.98,136.02,882400
11/04/2008,134.56,135.12,133.01,133.38,1436400
14/04/2008,133.19,133.54,132.55,132.93,160486400
15/04/2008,133.58,133.69,132.33,133.24,172342200
16/04/2008,134.63,136.91,134.52,136.85,189196700
17/04/2008,136.02,137.25,135.66,137.05,179665700
18/04/2008,138.94,139.56,138.26,138.48,218498100
21/04/2008,138.23,138.98,137.85,138.55,118555900
22/04/2008,138.2,138.29,136.93,137.94,949600
23/04/2008,138.1,138.75,137.13,137.72,1526400
24/04/2008,138.16,139.7,137.05,138.32,1457400
25/04/2008,139.49,139.84,137.94,139.6,2349400
28/04/2008,139.88,140.25,139.38,139.63,105610200
29/04/2008,139.41,139.68,138.64,139.08,660600
30/04/2008,139.29,140.59,138.26,138.26,208338200
01/05/2008,138.43,141.12,138.3,141.12,3181400
02/05/2008,142.2,142.3,140.6,141.51,1067800
05/05/2008,141.06,141.53,140.43,140.83,118504500
06/05/2008,140.03,142.16,139.7,142.05,2167200
07/05/2008,141.89,142.04,139.13,139.52,199208200
08/05/2008,139.74,140.32,138.98,139.16,178273600
09/05/2008,138.6,139.39,138.45,138.9,152492000
12/05/2008,139.25,140.56,138.73,140.46,147865900
13/05/2008,140.8,140.89,139.73,140.48,159132200
14/05/2008,141.07,142.2,140.46,140.77,181860600
15/05/2008,141.04,142.63,140.83,142.53,166902700
16/05/2008,142.86,142.87,141.61,142.66,204199200
19/05/2008,142.81,144.3,142.3,143.05,165664400
